Date,Open,High,Low,Close,new case,death
6/17/2020,101,102,99,100,1106,33
6/18/2020,99,107,97,106,1031,45
6/19/2020,108,108,103,105,1331,63
6/22/2020,105,108,104,105,862,36
6/23/2020,105,106,101,101,954,35
6/24/2020,102,104,100,101,1051,35
6/25/2020,100,101,98,99,1113,38
6/26/2020,99,101,99,101,1178,47
6/29/2020,99,102,98,99,1198,34
6/30/2020,99,101,96,97,1082,51
7/1/2020,98,99,94,97,1293,71
7/2/2020,97,99,96,97,1385,58
7/3/2020,97,102,97,100,1624,53
7/6/2020,103,104,99,100,1607,82
7/7/2020,101,101,97,98,1209,70
7/8/2020,98,99,97,97,1268,68
7/9/2020,97,99,97,98,1853,50
7/10/2020,98,99,97,97,2657,58
7/13/2020,98,98,96,97,1681,71
7/14/2020,97,98,96,97,1282,50
7/15/2020,97,99,96,97,1591,54
7/16/2020,97,98,97,97,1522,87
7/17/2020,96,99,96,98,1574,76
7/20/2020,98,98,96,96,1639,127
7/21/2020,97,100,95,99,1693,96
7/22/2020,100,100,97,98,1655,81
7/23/2020,99,108,98,103,1882,139
7/24/2020,107,139,106,139,1906,117
7/27/2020,143,168,138,142,1492,67
7/28/2020,142,151,134,138,1525,57
7/29/2020,139,157,135,153,1748,63
7/30/2020,156,156,143,143,2381,74
8/3/2020,139,141,133,133,1519,43
8/4/2020,125,137,124,132,1679,66
8/5/2020,136,148,135,144,1922,86
8/6/2020,138,152,138,146,1815,64
8/7/2020,147,150,140,143,1882,69
8/10/2020,144,149,133,133,1893,65
8/11/2020,135,135,124,130,1687,42
8/12/2020,132,133,127,128,1693,59
8/13/2020,128,130,120,120,1942,79
8/14/2020,114,125,112,112,2098,65
8/18/2020,112,113,105,105,1821,57
8/19/2020,105,110,99,100,1673,70
8/24/2020,102,104,96,98,2037,86
8/25/2020,98,100,92,92,1877,79
8/26/2020,92,108,87,106,2447,99
8/27/2020,110,110,99,99,2306,86
8/28/2020,94,98,93,93,2719,120
8/31/2020,88,98,88,90,2858,82
9/1/2020,92,94,89,91,2743,74
9/2/2020,91,96,90,92,2775,88
9/3/2020,92,94,90,92,3075,111
9/4/2020,92,93,89,91,3622,134
9/7/2020,91,92,89,90,3444,85
9/8/2020,91,92,86,87,2880,105
9/9/2020,87,90,84,87,3046,100
9/10/2020,87,88,81,81,3307,106
9/11/2020,76,82,76,80,3861,120
9/14/2020,82,90,80,87,3625,73
9/15/2020,88,90,84,85,3141,118
9/16/2020,86,87,84,84,3507,124
9/17/2020,85,87,83,84,3963,135
9/18/2020,84,85,79,79,3635,122
9/21/2020,80,83,77,78,3989,105
9/22/2020,78,78,74,77,4176,124
9/23/2020,78,80,73,75,4071,160
9/24/2020,74,76,70,71,4465,140
9/25/2020,72,81,70,77,4634,128
9/28/2020,80,80,76,76,3874,78
9/29/2020,76,80,74,75,3509,87
9/30/2020,75,77,74,75,4002,128
10/1/2020,75,82,75,80,4284,139
10/2/2020,80,83,77,78,4174,116
10/5/2020,80,80,77,77,3992,96
10/6/2020,77,87,77,87,3622,102
10/7/2020,87,89,84,85,4056,121
10/8/2020,86,87,83,83,4538,98
10/9/2020,83,85,82,84,4850,108
10/12/2020,85,85,82,83,4105,80
10/13/2020,83,86,80,84,3373,106
10/14/2020,84,87,83,83,3602,117
10/15/2020,84,85,82,83,4267,123
10/16/2020,83,84,82,82,4432,102
10/19/2020,83,85,80,82,4105,80
10/20/2020,82,82,77,78,3373,106
10/21/2020,79,80,78,79,3602,117
10/22/2020,79,79,74,75,4267,123
10/23/2020,75,76,70,73,4432,102
10/26/2020,73,73,68,68,3732,94
10/27/2020,68,71,66,70,3222,112
11/2/2020,69,71,66,67,2696,74
11/3/2020,67,69,67,68,2618,101
11/4/2020,68,70,66,67,2973,102
11/5/2020,68,69,64,66,3356,113
11/6/2020,67,67,62,64,4065,89
11/9/2020,62,66,62,63,3880,74
11/10/2020,64,65,61,63,2853,75
11/11/2020,65,69,63,69,3779,72
11/12/2020,69,70,65,65,3770,75
11/13/2020,63,65,61,61,4173,97
11/16/2020,60,63,59,62,4106,63
11/17/2020,65,65,61,63,3535,85
11/18/2020,63,67,62,65,3807,97
11/19/2020,65,66,64,65,4265,110
11/20/2020,66,73,64,68,4798,97
11/23/2020,68,72,68,70,4360,110
11/24/2020,71,77,70,74,4442,118
11/25/2020,76,77,70,73,4192,109
11/26/2020,73,74,70,70,5534,114
11/27/2020,70,73,69,69,4917,127
