Date,Open,High,Low,Close,new case,death
7/24/2020,3080,3080,3020,3020,1906,117
7/27/2020,3020,3050,3020,3040,1492,67
7/28/2020,3050,3050,3010,3020,1525,57
7/29/2020,3030,3050,3000,3000,1748,63
7/30/2020,3040,3050,3000,3050,2381,74
8/3/2020,3060,3060,2850,2920,1519,43
8/4/2020,2970,2970,2920,2950,1679,66
8/5/2020,2960,3040,2920,3020,1922,86
8/6/2020,3050,3050,3000,3020,1815,64
8/7/2020,3020,3030,2970,2980,1882,69
8/10/2020,3000,3020,2970,2970,1893,65
8/11/2020,2980,3000,2930,2930,1687,42
8/12/2020,2930,2960,2920,2950,1693,59
8/13/2020,2950,3020,2950,3010,1942,79
8/14/2020,3020,3040,3000,3030,2098,65
8/18/2020,3030,3060,3000,3050,1821,57
8/19/2020,3050,3050,3000,3000,1673,70
8/24/2020,3010,3020,2990,3000,2037,86
8/25/2020,3010,3010,2980,2980,1877,79
8/26/2020,2980,3050,2980,3020,2447,99
8/27/2020,3020,3040,2970,2990,2306,86
8/28/2020,2990,2990,2940,2960,2719,120
8/31/2020,2960,2980,2860,2860,2858,82
9/1/2020,2900,2910,2860,2900,2743,74
9/2/2020,2900,2970,2900,2950,2775,88
9/3/2020,2950,2960,2880,2900,3075,111
9/4/2020,2850,2890,2840,2860,3622,134
9/7/2020,2870,2910,2870,2900,3444,85
9/8/2020,2890,2900,2860,2860,2880,105
9/9/2020,2850,2860,2800,2800,3046,100
9/10/2020,2800,2800,2620,2700,3307,106
9/11/2020,2670,2840,2650,2810,3861,120
9/14/2020,2830,2890,2820,2890,3625,73
9/15/2020,2890,2900,2810,2830,3141,118
9/16/2020,2810,2830,2770,2790,3507,124
9/17/2020,2810,2850,2780,2820,3963,135
9/18/2020,2850,2890,2840,2890,3635,122
9/21/2020,2890,2910,2800,2810,3989,105
9/22/2020,2790,2810,2750,2780,4176,124
9/23/2020,2770,2810,2740,2800,4071,160
9/24/2020,2750,2760,2710,2730,4465,140
9/25/2020,2720,2740,2670,2690,4634,128
9/28/2020,2710,2730,2660,2660,3874,78
9/29/2020,2690,2690,2630,2630,3509,87
9/30/2020,2630,2650,2540,2560,4002,128
10/1/2020,2600,2760,2600,2750,4284,139
10/2/2020,2750,2750,2650,2680,4174,116
10/5/2020,2690,2710,2640,2650,3992,96
10/6/2020,2680,2700,2620,2650,3622,102
10/7/2020,2650,2670,2620,2660,4056,121
10/8/2020,2670,2720,2650,2700,4538,98
10/9/2020,2710,2750,2700,2730,4850,108
10/12/2020,2750,2760,2710,2730,4105,80
10/13/2020,2730,2740,2680,2730,3373,106
10/14/2020,2730,2830,2710,2810,3602,117
10/15/2020,2800,2850,2760,2780,4267,123
10/16/2020,2780,2780,2720,2750,4432,102
10/19/2020,2800,2810,2710,2710,4105,80
10/20/2020,2710,2740,2670,2670,3373,106
10/21/2020,2680,2710,2670,2680,3602,117
10/22/2020,2670,2720,2650,2700,4267,123
10/23/2020,2710,2720,2630,2630,4432,102
10/26/2020,2630,2680,2630,2650,3732,94
10/27/2020,2640,2690,2620,2620,3222,112
11/2/2020,2590,2620,2550,2560,2696,74
11/3/2020,2570,2590,2540,2580,2618,101
11/4/2020,2600,2640,2580,2580,2973,102
11/5/2020,2630,2810,2620,2770,3356,113
11/6/2020,2800,2840,2750,2830,4065,89
11/9/2020,2860,2900,2840,2880,3880,74
11/10/2020,2950,2950,2860,2860,2853,75
11/11/2020,2900,3100,2880,3080,3779,72
11/12/2020,3080,3080,3010,3040,3770,75
11/13/2020,3010,3010,2950,2990,4173,97
11/16/2020,3040,3100,3020,3070,4106,63
11/17/2020,3100,3270,3100,3220,3535,85
11/18/2020,3200,3250,3160,3180,3807,97
11/19/2020,3150,3220,3140,3170,4265,110
11/20/2020,3190,3270,3180,3220,4798,97
11/23/2020,3230,3340,3220,3320,4360,110
11/24/2020,3350,3380,3330,3350,4442,118
11/25/2020,3370,3390,3280,3280,4192,109
11/26/2020,3280,3480,3280,3470,5534,114
11/27/2020,3480,3500,3420,3460,4917,127
