Date,Open,High,Low,Close,new case,death
9/1/2020,2300,2350,2290,2300,2743,74
9/2/2020,2310,2340,2300,2330,2775,88
9/3/2020,2350,2420,2340,2360,3075,111
9/4/2020,2330,2360,2300,2310,3622,134
9/7/2020,2320,2320,2260,2290,3444,85
9/8/2020,2300,2310,2250,2260,2880,105
9/9/2020,2250,2290,2200,2220,3046,100
9/10/2020,2220,2220,2080,2080,3307,106
9/11/2020,2080,2280,1950,2250,3861,120
9/14/2020,2260,2350,2250,2260,3625,73
9/15/2020,2260,2290,2160,2170,3141,118
9/16/2020,2170,2220,2160,2170,3507,124
9/17/2020,2170,2200,2110,2130,3963,135
9/18/2020,2120,2190,2120,2150,3635,122
9/21/2020,2160,2170,2020,2030,3989,105
9/22/2020,2030,2070,1965,2000,4176,124
9/23/2020,2000,2050,1945,1955,4071,160
9/24/2020,1955,1955,1870,1930,4465,140
9/25/2020,1950,1980,1915,1945,4634,128
9/28/2020,1965,2040,1950,2040,3874,78
9/29/2020,2060,2070,1990,2020,3509,87
9/30/2020,2030,2030,1955,1990,4002,128
10/1/2020,1990,2140,1990,2070,4284,139
10/2/2020,2070,2070,1985,2000,4174,116
10/5/2020,2030,2040,2000,2020,3992,96
10/6/2020,2100,2110,2040,2040,3622,102
10/7/2020,2040,2130,2020,2080,4056,121
10/8/2020,2080,2120,2060,2070,4538,98
10/9/2020,2070,2100,2060,2070,4850,108
10/12/2020,2080,2110,2050,2060,4105,80
10/13/2020,2060,2100,2030,2060,3373,106
10/14/2020,2060,2120,2050,2090,3602,117
10/15/2020,2070,2100,2030,2040,4267,123
10/16/2020,2040,2080,2030,2050,4432,102
10/19/2020,2070,2080,2040,2070,4105,80
10/20/2020,2070,2070,2020,2040,3373,106
10/21/2020,2050,2080,2030,2050,3602,117
10/22/2020,2050,2060,2020,2040,4267,123
10/23/2020,2040,2070,2030,2050,4432,102
10/26/2020,2050,2070,2000,2020,3732,94
10/27/2020,2020,2040,2000,2010,3222,112
11/2/2020,2020,2020,1990,2010,2696,74
11/3/2020,2040,2050,2000,2010,2618,101
11/4/2020,2040,2050,1990,1995,2973,102
11/5/2020,2020,2130,2000,2120,3356,113
11/6/2020,2120,2170,2060,2140,4065,89
11/9/2020,2150,2150,2090,2110,3880,74
11/10/2020,2130,2140,2090,2090,2853,75
11/11/2020,2130,2230,2090,2180,3779,72
11/12/2020,2190,2200,2130,2150,3770,75
11/13/2020,2170,2220,2150,2200,4173,97
11/16/2020,2200,2250,2200,2220,4106,63
11/17/2020,2250,2260,2220,2230,3535,85
11/18/2020,2240,2250,2180,2200,3807,97
11/19/2020,2200,2210,2180,2190,4265,110
11/20/2020,2190,2220,2180,2200,4798,97
11/23/2020,2210,2290,2190,2280,4360,110
11/24/2020,2310,2340,2280,2320,4442,118
11/25/2020,2330,2380,2280,2300,4192,109
11/26/2020,2300,2370,2290,2330,5534,114
11/27/2020,2350,2370,2330,2350,4917,127
